PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,AgeBand
1,0,3,male,22,1,0,A/5 21171,7.25,Missing,S,"(16.0, 32.0]"
2,1,1,female,38,1,0,PC 17599,71.2833,C85,C,"(32.0, 48.0]"
3,1,3,female,26,0,0,STON/O2. 3101282,7.925,Missing,S,"(16.0, 32.0]"
4,1,1,female,35,1,0,113803,53.1,C123,S,"(32.0, 48.0]"
5,0,3,male,35,0,0,373450,8.05,Missing,S,"(32.0, 48.0]"
6,0,3,male,24,0,0,330877,8.4583,Missing,Q,"(16.0, 32.0]"
7,0,1,male,54,0,0,17463,51.8625,E46,S,"(48.0, 64.0]"
8,0,3,male,2,3,1,349909,21.075,Missing,S,"(-0.08, 16.0]"
9,1,3,female,27,0,2,347742,11.1333,Missing,S,"(16.0, 32.0]"
10,1,2,female,14,1,0,237736,30.0708,Missing,C,"(-0.08, 16.0]"
11,1,3,female,4,1,1,PP 9549,16.7,G6,S,"(-0.08, 16.0]"
12,1,1,female,58,0,0,113783,26.55,C103,S,"(48.0, 64.0]"
13,0,3,male,20,0,0,A/5. 2151,8.05,Missing,S,"(16.0, 32.0]"
14,0,3,male,39,1,5,347082,31.275,Missing,S,"(32.0, 48.0]"
15,0,3,female,14,0,0,350406,7.8542,Missing,S,"(-0.08, 16.0]"
16,1,2,female,55,0,0,248706,16.0,Missing,S,"(48.0, 64.0]"
17,0,3,male,2,4,1,382652,29.125,Missing,Q,"(-0.08, 16.0]"
18,1,2,male,38,0,0,244373,13.0,Missing,S,"(32.0, 48.0]"
19,0,3,female,31,1,0,345763,18.0,Missing,S,"(16.0, 32.0]"
20,1,3,female,25,0,0,2649,7.225,Missing,C,"(16.0, 32.0]"
21,0,2,male,35,0,0,239865,26.0,Missing,S,"(32.0, 48.0]"
22,1,2,male,34,0,0,248698,13.0,D56,S,"(32.0, 48.0]"
23,1,3,female,15,0,0,330923,8.0292,Missing,Q,"(-0.08, 16.0]"
24,1,1,male,28,0,0,113788,35.5,A6,S,"(16.0, 32.0]"
25,0,3,female,8,3,1,349909,21.075,Missing,S,"(-0.08, 16.0]"
26,1,3,female,38,1,5,347077,31.3875,Missing,S,"(32.0, 48.0]"
27,0,3,male,22,0,0,2631,7.225,Missing,C,"(16.0, 32.0]"
28,0,1,male,19,3,2,19950,263.0,C23 C25 C27,S,"(16.0, 32.0]"
29,1,3,female,21,0,0,330959,7.8792,Missing,Q,"(16.0, 32.0]"
30,0,3,male,33,0,0,349216,7.8958,Missing,S,"(32.0, 48.0]"
31,0,1,male,40,0,0,PC 17601,27.7208,Missing,C,"(32.0, 48.0]"
32,1,1,female,19,1,0,PC 17569,146.5208,B78,C,"(16.0, 32.0]"
33,1,3,female,21,0,0,335677,7.75,Missing,Q,"(16.0, 32.0]"
34,0,2,male,66,0,0,C.A. 24579,10.5,Missing,S,"(64.0, 80.0]"
35,0,1,male,28,1,0,PC 17604,82.1708,Missing,C,"(16.0, 32.0]"
36,0,1,male,42,1,0,113789,52.0,Missing,S,"(32.0, 48.0]"
37,1,3,male,37,0,0,2677,7.2292,Missing,C,"(32.0, 48.0]"
38,0,3,male,21,0,0,A./5. 2152,8.05,Missing,S,"(16.0, 32.0]"
39,0,3,female,18,2,0,345764,18.0,Missing,S,"(16.0, 32.0]"
40,1,3,female,14,1,0,2651,11.2417,Missing,C,"(-0.08, 16.0]"
41,0,3,female,40,1,0,7546,9.475,Missing,S,"(32.0, 48.0]"
42,0,2,female,27,1,0,11668,21.0,Missing,S,"(16.0, 32.0]"
43,0,3,male,23,0,0,349253,7.8958,Missing,C,"(16.0, 32.0]"
44,1,2,female,3,1,2,SC/Paris 2123,41.5792,Missing,C,"(-0.08, 16.0]"
45,1,3,female,19,0,0,330958,7.8792,Missing,Q,"(16.0, 32.0]"
46,0,3,male,24,0,0,S.C./A.4. 23567,8.05,Missing,S,"(16.0, 32.0]"
47,0,3,male,27,1,0,370371,15.5,Missing,Q,"(16.0, 32.0]"
48,1,3,female,39,0,0,14311,7.75,Missing,Q,"(32.0, 48.0]"
49,0,3,male,31,2,0,2662,21.6792,Missing,C,"(16.0, 32.0]"
50,0,3,female,18,1,0,349237,17.8,Missing,S,"(16.0, 32.0]"
51,0,3,male,7,4,1,3101295,39.6875,Missing,S,"(-0.08, 16.0]"
52,0,3,male,21,0,0,A/4. 39886,7.8,Missing,S,"(16.0, 32.0]"
53,1,1,female,49,1,0,PC 17572,76.7292,D33,C,"(48.0, 64.0]"
54,1,2,female,29,1,0,2926,26.0,Missing,S,"(16.0, 32.0]"
55,0,1,male,65,0,1,113509,61.9792,B30,C,"(64.0, 80.0]"
56,1,1,male,34,0,0,19947,35.5,C52,S,"(32.0, 48.0]"
57,1,2,female,21,0,0,C.A. 31026,10.5,Missing,S,"(16.0, 32.0]"
58,0,3,male,28,0,0,2697,7.2292,Missing,C,"(16.0, 32.0]"
59,1,2,female,5,1,2,C.A. 34651,27.75,Missing,S,"(-0.08, 16.0]"
60,0,3,male,11,5,2,CA 2144,46.9,Missing,S,"(-0.08, 16.0]"
61,0,3,male,22,0,0,2669,7.2292,Missing,C,"(16.0, 32.0]"
62,1,1,female,38,0,0,113572,80.0,B28,S,"(32.0, 48.0]"
63,0,1,male,45,1,0,36973,83.475,C83,S,"(32.0, 48.0]"
64,0,3,male,4,3,2,347088,27.9,Missing,S,"(-0.08, 16.0]"
65,0,1,male,30,0,0,PC 17605,27.7208,Missing,C,"(16.0, 32.0]"
66,1,3,male,18,1,1,2661,15.2458,Missing,C,"(16.0, 32.0]"
67,1,2,female,29,0,0,C.A. 29395,10.5,F33,S,"(16.0, 32.0]"
68,0,3,male,19,0,0,S.P. 3464,8.1583,Missing,S,"(16.0, 32.0]"
69,1,3,female,17,4,2,3101281,7.925,Missing,S,"(16.0, 32.0]"
70,0,3,male,26,2,0,315151,8.6625,Missing,S,"(16.0, 32.0]"
71,0,2,male,32,0,0,C.A. 33111,10.5,Missing,S,"(16.0, 32.0]"
72,0,3,female,16,5,2,CA 2144,46.9,Missing,S,"(-0.08, 16.0]"
73,0,2,male,21,0,0,S.O.C. 14879,73.5,Missing,S,"(16.0, 32.0]"
74,0,3,male,26,1,0,2680,14.4542,Missing,C,"(16.0, 32.0]"
75,1,3,male,32,0,0,1601,56.4958,Missing,S,"(16.0, 32.0]"
76,0,3,male,25,0,0,348123,7.65,F G73,S,"(16.0, 32.0]"
77,0,3,male,23,0,0,349208,7.8958,Missing,S,"(16.0, 32.0]"
78,0,3,male,33,0,0,374746,8.05,Missing,S,"(32.0, 48.0]"
79,1,2,male,0,0,2,248738,29.0,Missing,S,"(-0.08, 16.0]"
80,1,3,female,30,0,0,364516,12.475,Missing,S,"(16.0, 32.0]"
81,0,3,male,22,0,0,345767,9.0,Missing,S,"(16.0, 32.0]"
82,1,3,male,29,0,0,345779,9.5,Missing,S,"(16.0, 32.0]"
83,1,3,female,39,0,0,330932,7.7875,Missing,Q,"(32.0, 48.0]"
84,0,1,male,28,0,0,113059,47.1,Missing,S,"(16.0, 32.0]"
85,1,2,female,17,0,0,SO/C 14885,10.5,Missing,S,"(16.0, 32.0]"
86,1,3,female,33,3,0,3101278,15.85,Missing,S,"(32.0, 48.0]"
87,0,3,male,16,1,3,W./C. 6608,34.375,Missing,S,"(-0.08, 16.0]"
88,0,3,male,35,0,0,SOTON/OQ 392086,8.05,Missing,S,"(32.0, 48.0]"
89,1,1,female,23,3,2,19950,263.0,C23 C25 C27,S,"(16.0, 32.0]"
90,0,3,male,24,0,0,343275,8.05,Missing,S,"(16.0, 32.0]"
91,0,3,male,29,0,0,343276,8.05,Missing,S,"(16.0, 32.0]"
92,0,3,male,20,0,0,347466,7.8542,Missing,S,"(16.0, 32.0]"
93,0,1,male,46,1,0,W.E.P. 5734,61.175,E31,S,"(32.0, 48.0]"
94,0,3,male,26,1,2,C.A. 2315,20.575,Missing,S,"(16.0, 32.0]"
95,0,3,male,59,0,0,364500,7.25,Missing,S,"(48.0, 64.0]"
96,0,3,male,16,0,0,374910,8.05,Missing,S,"(-0.08, 16.0]"
97,0,1,male,71,0,0,PC 17754,34.6542,A5,C,"(64.0, 80.0]"
98,1,1,male,23,0,1,PC 17759,63.3583,D10 D12,C,"(16.0, 32.0]"
99,1,2,female,34,0,1,231919,23.0,Missing,S,"(32.0, 48.0]"
100,0,2,male,34,1,0,244367,26.0,Missing,S,"(32.0, 48.0]"
101,0,3,female,28,0,0,349245,7.8958,Missing,S,"(16.0, 32.0]"
102,0,3,male,43,0,0,349215,7.8958,Missing,S,"(32.0, 48.0]"
103,0,1,male,21,0,1,35281,77.2875,D26,S,"(16.0, 32.0]"
104,0,3,male,33,0,0,7540,8.6542,Missing,S,"(32.0, 48.0]"
105,0,3,male,37,2,0,3101276,7.925,Missing,S,"(32.0, 48.0]"
106,0,3,male,28,0,0,349207,7.8958,Missing,S,"(16.0, 32.0]"
107,1,3,female,21,0,0,343120,7.65,Missing,S,"(16.0, 32.0]"
108,1,3,male,35,0,0,312991,7.775,Missing,S,"(32.0, 48.0]"
109,0,3,male,38,0,0,349249,7.8958,Missing,S,"(32.0, 48.0]"
110,1,3,female,33,1,0,371110,24.15,Missing,Q,"(32.0, 48.0]"
111,0,1,male,47,0,0,110465,52.0,C110,S,"(32.0, 48.0]"
112,0,3,female,14,1,0,2665,14.4542,Missing,C,"(-0.08, 16.0]"
113,0,3,male,22,0,0,324669,8.05,Missing,S,"(16.0, 32.0]"
114,0,3,female,20,1,0,4136,9.825,Missing,S,"(16.0, 32.0]"
115,0,3,female,17,0,0,2627,14.4583,Missing,C,"(16.0, 32.0]"
116,0,3,male,21,0,0,STON/O 2. 3101294,7.925,Missing,S,"(16.0, 32.0]"
117,0,3,male,70,0,0,370369,7.75,Missing,Q,"(64.0, 80.0]"
118,0,2,male,29,1,0,11668,21.0,Missing,S,"(16.0, 32.0]"
119,0,1,male,24,0,1,PC 17558,247.5208,B58 B60,C,"(16.0, 32.0]"
120,0,3,female,2,4,2,347082,31.275,Missing,S,"(-0.08, 16.0]"
121,0,2,male,21,2,0,S.O.C. 14879,73.5,Missing,S,"(16.0, 32.0]"
122,0,3,male,16,0,0,A4. 54510,8.05,Missing,S,"(-0.08, 16.0]"
123,0,2,male,32,1,0,237736,30.0708,Missing,C,"(16.0, 32.0]"
124,1,2,female,32,0,0,27267,13.0,E101,S,"(16.0, 32.0]"
125,0,1,male,54,0,1,35281,77.2875,D26,S,"(48.0, 64.0]"
126,1,3,male,12,1,0,2651,11.2417,Missing,C,"(-0.08, 16.0]"
127,0,3,male,19,0,0,370372,7.75,Missing,Q,"(16.0, 32.0]"
128,1,3,male,24,0,0,C 17369,7.1417,Missing,S,"(16.0, 32.0]"
129,1,3,female,28,1,1,2668,22.3583,F E69,C,"(16.0, 32.0]"
130,0,3,male,45,0,0,347061,6.975,Missing,S,"(32.0, 48.0]"
131,0,3,male,33,0,0,349241,7.8958,Missing,C,"(32.0, 48.0]"
132,0,3,male,20,0,0,SOTON/O.Q. 3101307,7.05,Missing,S,"(16.0, 32.0]"
133,0,3,female,47,1,0,A/5. 3337,14.5,Missing,S,"(32.0, 48.0]"
134,1,2,female,29,1,0,228414,26.0,Missing,S,"(16.0, 32.0]"
135,0,2,male,25,0,0,C.A. 29178,13.0,Missing,S,"(16.0, 32.0]"
136,0,2,male,23,0,0,SC/PARIS 2133,15.0458,Missing,C,"(16.0, 32.0]"
137,1,1,female,19,0,2,11752,26.2833,D47,S,"(16.0, 32.0]"
138,0,1,male,37,1,0,113803,53.1,C123,S,"(32.0, 48.0]"
139,0,3,male,16,0,0,7534,9.2167,Missing,S,"(-0.08, 16.0]"
140,0,1,male,24,0,0,PC 17593,79.2,B86,C,"(16.0, 32.0]"
141,0,3,female,37,0,2,2678,15.2458,Missing,C,"(32.0, 48.0]"
142,1,3,female,22,0,0,347081,7.75,Missing,S,"(16.0, 32.0]"
143,1,3,female,24,1,0,STON/O2. 3101279,15.85,Missing,S,"(16.0, 32.0]"
144,0,3,male,19,0,0,365222,6.75,Missing,Q,"(16.0, 32.0]"
145,0,2,male,18,0,0,231945,11.5,Missing,S,"(16.0, 32.0]"
146,0,2,male,19,1,1,C.A. 33112,36.75,Missing,S,"(16.0, 32.0]"
147,1,3,male,27,0,0,350043,7.7958,Missing,S,"(16.0, 32.0]"
148,0,3,female,9,2,2,W./C. 6608,34.375,Missing,S,"(-0.08, 16.0]"
149,0,2,male,36,0,2,230080,26.0,F2,S,"(32.0, 48.0]"
150,0,2,male,42,0,0,244310,13.0,Missing,S,"(32.0, 48.0]"
151,0,2,male,51,0,0,S.O.P. 1166,12.525,Missing,S,"(48.0, 64.0]"
152,1,1,female,22,1,0,113776,66.6,C2,S,"(16.0, 32.0]"
153,0,3,male,55,0,0,A.5. 11206,8.05,Missing,S,"(48.0, 64.0]"
154,0,3,male,40,0,2,A/5. 851,14.5,Missing,S,"(32.0, 48.0]"
155,0,3,male,28,0,0,Fa 265302,7.3125,Missing,S,"(16.0, 32.0]"
156,0,1,male,51,0,1,PC 17597,61.3792,Missing,C,"(48.0, 64.0]"
157,1,3,female,16,0,0,35851,7.7333,Missing,Q,"(-0.08, 16.0]"
158,0,3,male,30,0,0,SOTON/OQ 392090,8.05,Missing,S,"(16.0, 32.0]"
159,0,3,male,23,0,0,315037,8.6625,Missing,S,"(16.0, 32.0]"
160,0,3,male,40,8,2,CA. 2343,69.55,Missing,S,"(32.0, 48.0]"
161,0,3,male,44,0,1,371362,16.1,Missing,S,"(32.0, 48.0]"
162,1,2,female,40,0,0,C.A. 33595,15.75,Missing,S,"(32.0, 48.0]"
163,0,3,male,26,0,0,347068,7.775,Missing,S,"(16.0, 32.0]"
164,0,3,male,17,0,0,315093,8.6625,Missing,S,"(16.0, 32.0]"
165,0,3,male,1,4,1,3101295,39.6875,Missing,S,"(-0.08, 16.0]"
166,1,3,male,9,0,2,363291,20.525,Missing,S,"(-0.08, 16.0]"
167,1,1,female,23,0,1,113505,55.0,E33,S,"(16.0, 32.0]"
168,0,3,female,45,1,4,347088,27.9,Missing,S,"(32.0, 48.0]"
169,0,1,male,28,0,0,PC 17318,25.925,Missing,S,"(16.0, 32.0]"
170,0,3,male,28,0,0,1601,56.4958,Missing,S,"(16.0, 32.0]"
171,0,1,male,61,0,0,111240,33.5,B19,S,"(48.0, 64.0]"
172,0,3,male,4,4,1,382652,29.125,Missing,Q,"(-0.08, 16.0]"
173,1,3,female,1,1,1,347742,11.1333,Missing,S,"(-0.08, 16.0]"
174,0,3,male,21,0,0,STON/O 2. 3101280,7.925,Missing,S,"(16.0, 32.0]"
175,0,1,male,56,0,0,17764,30.6958,A7,C,"(48.0, 64.0]"
176,0,3,male,18,1,1,350404,7.8542,Missing,S,"(16.0, 32.0]"
177,0,3,male,43,3,1,4133,25.4667,Missing,S,"(32.0, 48.0]"
178,0,1,female,50,0,0,PC 17595,28.7125,C49,C,"(48.0, 64.0]"
179,0,2,male,30,0,0,250653,13.0,Missing,S,"(16.0, 32.0]"
180,0,3,male,36,0,0,LINE,0.0,Missing,S,"(32.0, 48.0]"
181,0,3,female,24,8,2,CA. 2343,69.55,Missing,S,"(16.0, 32.0]"
182,0,2,male,43,0,0,SC/PARIS 2131,15.05,Missing,C,"(32.0, 48.0]"
183,0,3,male,9,4,2,347077,31.3875,Missing,S,"(-0.08, 16.0]"
184,1,2,male,1,2,1,230136,39.0,F4,S,"(-0.08, 16.0]"
185,1,3,female,4,0,2,315153,22.025,Missing,S,"(-0.08, 16.0]"
186,0,1,male,31,0,0,113767,50.0,A32,S,"(16.0, 32.0]"
187,1,3,female,37,1,0,370365,15.5,Missing,Q,"(32.0, 48.0]"
188,1,1,male,45,0,0,111428,26.55,Missing,S,"(32.0, 48.0]"
189,0,3,male,40,1,1,364849,15.5,Missing,Q,"(32.0, 48.0]"
190,0,3,male,36,0,0,349247,7.8958,Missing,S,"(32.0, 48.0]"
191,1,2,female,32,0,0,234604,13.0,Missing,S,"(16.0, 32.0]"
192,0,2,male,19,0,0,28424,13.0,Missing,S,"(16.0, 32.0]"
193,1,3,female,19,1,0,350046,7.8542,Missing,S,"(16.0, 32.0]"
194,1,2,male,3,1,1,230080,26.0,F2,S,"(-0.08, 16.0]"
195,1,1,female,44,0,0,PC 17610,27.7208,B4,C,"(32.0, 48.0]"
196,1,1,female,58,0,0,PC 17569,146.5208,B80,C,"(48.0, 64.0]"
197,0,3,male,33,0,0,368703,7.75,Missing,Q,"(32.0, 48.0]"
198,0,3,male,42,0,1,4579,8.4042,Missing,S,"(32.0, 48.0]"
199,1,3,female,37,0,0,370370,7.75,Missing,Q,"(32.0, 48.0]"
200,0,2,female,24,0,0,248747,13.0,Missing,S,"(16.0, 32.0]"
201,0,3,male,28,0,0,345770,9.5,Missing,S,"(16.0, 32.0]"
202,0,3,male,39,8,2,CA. 2343,69.55,Missing,S,"(32.0, 48.0]"
203,0,3,male,34,0,0,3101264,6.4958,Missing,S,"(32.0, 48.0]"
204,0,3,male,45,0,0,2628,7.225,Missing,C,"(32.0, 48.0]"
205,1,3,male,18,0,0,A/5 3540,8.05,Missing,S,"(16.0, 32.0]"
206,0,3,female,2,0,1,347054,10.4625,G6,S,"(-0.08, 16.0]"
207,0,3,male,32,1,0,3101278,15.85,Missing,S,"(16.0, 32.0]"
208,1,3,male,26,0,0,2699,18.7875,Missing,C,"(16.0, 32.0]"
209,1,3,female,16,0,0,367231,7.75,Missing,Q,"(-0.08, 16.0]"
210,1,1,male,40,0,0,112277,31.0,A31,C,"(32.0, 48.0]"
211,0,3,male,24,0,0,SOTON/O.Q. 3101311,7.05,Missing,S,"(16.0, 32.0]"
212,1,2,female,35,0,0,F.C.C. 13528,21.0,Missing,S,"(32.0, 48.0]"
213,0,3,male,22,0,0,A/5 21174,7.25,Missing,S,"(16.0, 32.0]"
214,0,2,male,30,0,0,250646,13.0,Missing,S,"(16.0, 32.0]"
215,0,3,male,38,1,0,367229,7.75,Missing,Q,"(32.0, 48.0]"
216,1,1,female,31,1,0,35273,113.275,D36,C,"(16.0, 32.0]"
217,1,3,female,27,0,0,STON/O2. 3101283,7.925,Missing,S,"(16.0, 32.0]"
218,0,2,male,42,1,0,243847,27.0,Missing,S,"(32.0, 48.0]"
219,1,1,female,32,0,0,11813,76.2917,D15,C,"(16.0, 32.0]"
220,0,2,male,30,0,0,W/C 14208,10.5,Missing,S,"(16.0, 32.0]"
221,1,3,male,16,0,0,SOTON/OQ 392089,8.05,Missing,S,"(-0.08, 16.0]"
222,0,2,male,27,0,0,220367,13.0,Missing,S,"(16.0, 32.0]"
223,0,3,male,51,0,0,21440,8.05,Missing,S,"(48.0, 64.0]"
224,0,3,male,30,0,0,349234,7.8958,Missing,S,"(16.0, 32.0]"
225,1,1,male,38,1,0,19943,90.0,C93,S,"(32.0, 48.0]"
226,0,3,male,22,0,0,PP 4348,9.35,Missing,S,"(16.0, 32.0]"
227,1,2,male,19,0,0,SW/PP 751,10.5,Missing,S,"(16.0, 32.0]"
228,0,3,male,20,0,0,A/5 21173,7.25,Missing,S,"(16.0, 32.0]"
229,0,2,male,18,0,0,236171,13.0,Missing,S,"(16.0, 32.0]"
230,0,3,female,16,3,1,4133,25.4667,Missing,S,"(-0.08, 16.0]"
231,1,1,female,35,1,0,36973,83.475,C83,S,"(32.0, 48.0]"
232,0,3,male,29,0,0,347067,7.775,Missing,S,"(16.0, 32.0]"
233,0,2,male,59,0,0,237442,13.5,Missing,S,"(48.0, 64.0]"
234,1,3,female,5,4,2,347077,31.3875,Missing,S,"(-0.08, 16.0]"
235,0,2,male,24,0,0,C.A. 29566,10.5,Missing,S,"(16.0, 32.0]"
236,0,3,female,24,0,0,W./C. 6609,7.55,Missing,S,"(16.0, 32.0]"
237,0,2,male,44,1,0,26707,26.0,Missing,S,"(32.0, 48.0]"
238,1,2,female,8,0,2,C.A. 31921,26.25,Missing,S,"(-0.08, 16.0]"
239,0,2,male,19,0,0,28665,10.5,Missing,S,"(16.0, 32.0]"
240,0,2,male,33,0,0,SCO/W 1585,12.275,Missing,S,"(32.0, 48.0]"
241,0,3,female,42,1,0,2665,14.4542,Missing,C,"(32.0, 48.0]"
242,1,3,female,22,1,0,367230,15.5,Missing,Q,"(16.0, 32.0]"
243,0,2,male,29,0,0,W./C. 14263,10.5,Missing,S,"(16.0, 32.0]"
244,0,3,male,22,0,0,STON/O 2. 3101275,7.125,Missing,S,"(16.0, 32.0]"
245,0,3,male,30,0,0,2694,7.225,Missing,C,"(16.0, 32.0]"
246,0,1,male,44,2,0,19928,90.0,C78,Q,"(32.0, 48.0]"
247,0,3,female,25,0,0,347071,7.775,Missing,S,"(16.0, 32.0]"
248,1,2,female,24,0,2,250649,14.5,Missing,S,"(16.0, 32.0]"
249,1,1,male,37,1,1,11751,52.5542,D35,S,"(32.0, 48.0]"
250,0,2,male,54,1,0,244252,26.0,Missing,S,"(48.0, 64.0]"
251,0,3,male,21,0,0,362316,7.25,Missing,S,"(16.0, 32.0]"
252,0,3,female,29,1,1,347054,10.4625,G6,S,"(16.0, 32.0]"
253,0,1,male,62,0,0,113514,26.55,C87,S,"(48.0, 64.0]"
254,0,3,male,30,1,0,A/5. 3336,16.1,Missing,S,"(16.0, 32.0]"
255,0,3,female,41,0,2,370129,20.2125,Missing,S,"(32.0, 48.0]"
256,1,3,female,29,0,2,2650,15.2458,Missing,C,"(16.0, 32.0]"
257,1,1,female,40,0,0,PC 17585,79.2,Missing,C,"(32.0, 48.0]"
258,1,1,female,30,0,0,110152,86.5,B77,S,"(16.0, 32.0]"
259,1,1,female,35,0,0,PC 17755,512.3292,Missing,C,"(32.0, 48.0]"
260,1,2,female,50,0,1,230433,26.0,Missing,S,"(48.0, 64.0]"
261,0,3,male,34,0,0,384461,7.75,Missing,Q,"(32.0, 48.0]"
262,1,3,male,3,4,2,347077,31.3875,Missing,S,"(-0.08, 16.0]"
263,0,1,male,52,1,1,110413,79.65,E67,S,"(48.0, 64.0]"
264,0,1,male,40,0,0,112059,0.0,B94,S,"(32.0, 48.0]"
265,0,3,female,33,0,0,382649,7.75,Missing,Q,"(32.0, 48.0]"
266,0,2,male,36,0,0,C.A. 17248,10.5,Missing,S,"(32.0, 48.0]"
267,0,3,male,16,4,1,3101295,39.6875,Missing,S,"(-0.08, 16.0]"
268,1,3,male,25,1,0,347083,7.775,Missing,S,"(16.0, 32.0]"
269,1,1,female,58,0,1,PC 17582,153.4625,C125,S,"(48.0, 64.0]"
270,1,1,female,35,0,0,PC 17760,135.6333,C99,S,"(32.0, 48.0]"
271,0,1,male,16,0,0,113798,31.0,Missing,S,"(-0.08, 16.0]"
272,1,3,male,25,0,0,LINE,0.0,Missing,S,"(16.0, 32.0]"
273,1,2,female,41,0,1,250644,19.5,Missing,S,"(32.0, 48.0]"
274,0,1,male,37,0,1,PC 17596,29.7,C118,C,"(32.0, 48.0]"
275,1,3,female,23,0,0,370375,7.75,Missing,Q,"(16.0, 32.0]"
276,1,1,female,63,1,0,13502,77.9583,D7,S,"(48.0, 64.0]"
277,0,3,female,45,0,0,347073,7.75,Missing,S,"(32.0, 48.0]"
278,0,2,male,30,0,0,239853,0.0,Missing,S,"(16.0, 32.0]"
279,0,3,male,7,4,1,382652,29.125,Missing,Q,"(-0.08, 16.0]"
280,1,3,female,35,1,1,C.A. 2673,20.25,Missing,S,"(32.0, 48.0]"
281,0,3,male,65,0,0,336439,7.75,Missing,Q,"(64.0, 80.0]"
282,0,3,male,28,0,0,347464,7.8542,Missing,S,"(16.0, 32.0]"
283,0,3,male,16,0,0,345778,9.5,Missing,S,"(-0.08, 16.0]"
284,1,3,male,19,0,0,A/5. 10482,8.05,Missing,S,"(16.0, 32.0]"
285,0,1,male,41,0,0,113056,26.0,A19,S,"(32.0, 48.0]"
286,0,3,male,33,0,0,349239,8.6625,Missing,C,"(32.0, 48.0]"
287,1,3,male,30,0,0,345774,9.5,Missing,S,"(16.0, 32.0]"
288,0,3,male,22,0,0,349206,7.8958,Missing,S,"(16.0, 32.0]"
289,1,2,male,42,0,0,237798,13.0,Missing,S,"(32.0, 48.0]"
290,1,3,female,22,0,0,370373,7.75,Missing,Q,"(16.0, 32.0]"
291,1,1,female,26,0,0,19877,78.85,Missing,S,"(16.0, 32.0]"
292,1,1,female,19,1,0,11967,91.0792,B49,C,"(16.0, 32.0]"
293,0,2,male,36,0,0,SC/Paris 2163,12.875,D,C,"(32.0, 48.0]"
294,0,3,female,24,0,0,349236,8.85,Missing,S,"(16.0, 32.0]"
295,0,3,male,24,0,0,349233,7.8958,Missing,S,"(16.0, 32.0]"
296,0,1,male,30,0,0,PC 17612,27.7208,Missing,C,"(16.0, 32.0]"
